resid,Female,watchnat,ReadNews,pnintst,Education,income,Voted,prop,infopro,WatchProgram,learnpro,TreatmentGroup,prop_dv,InformationLevel,prop_vote,white,partyid,PoliticalInterest
10049850,1,7,7,1,8,3,0,NA,1,1,3,1,1,4,NA,0,4,1
10049860,1,7,4,3,9,2,1,1,3,0,NA,0,0,2,1,1,1,3
10049880,1,6,6,3,10,NA,1,1,2,0,NA,0,0,3,1,0,2,3
10049960,1,7,5,4,6,6,0,NA,-2,0,NA,0,1,NA,NA,1,7,4
10050010,0,7,7,4,9,11,1,1,1,1,2,1,0,4,1,1,1,4
10050070,1,7,7,3,9,11,1,1,2,0,NA,1,0,3,1,1,6,3
10050130,0,6,7,4,4,5,0,NA,3,0,NA,1,1,2,NA,0,7,4
10050230,0,7,1,1,4,3,1,1,3,0,NA,1,0,2,1,1,5,1
10050250,1,6,7,3,4,2,1,1,3,1,3,1,0,2,1,0,6,3
10050330,1,7,1,1,4,3,0,NA,4,0,NA,1,1,1,NA,0,6,1
10050350,1,7,5,3,10,10,1,1,2,0,NA,1,0,3,1,1,2,3
10050390,1,7,7,4,12,8,1,1,2,0,NA,1,0,3,1,1,1,4
10050400,1,7,7,4,9,11,1,2,3,0,NA,0,0,2,0,1,1,4
10050440,1,7,5,3,4,NA,1,1,2,0,NA,0,0,3,1,1,5,3
10050480,1,7,5,4,9,7,0,NA,2,0,NA,0,1,3,NA,1,6,4
10050500,1,4,6,3,11,4,1,1,1,0,NA,0,0,4,1,1,7,3
10050670,1,6,6,3,11,4,1,2,2,1,2,1,0,3,0,1,1,3
10050720,1,7,7,4,12,7,1,1,2,0,NA,0,0,3,1,1,1,4
10050730,1,7,6,4,11,6,1,1,2,1,3,1,0,3,1,1,1,4
10050760,0,5,3,3,9,5,1,1,2,0,NA,0,0,3,1,1,2,3
10050820,1,7,7,3,4,8,1,1,1,0,NA,0,0,4,1,0,7,3
10050860,1,7,7,3,11,NA,1,1,2,0,NA,0,0,3,1,1,7,3
10050890,1,1,2,4,7,NA,1,1,2,0,NA,1,0,3,1,1,1,4
10050920,0,7,5,4,4,7,1,1,2,0,NA,0,0,3,1,1,1,4
10050940,1,7,2,4,9,4,1,1,3,0,NA,0,0,2,1,1,1,4
10051040,1,6,6,3,4,8,1,1,3,1,3,0,0,2,1,1,2,3
10051120,0,7,7,3,9,5,1,1,1,0,NA,0,0,4,1,1,7,3
10051140,0,7,NA,3,11,NA,0,NA,3,0,NA,0,1,2,NA,0,6,3
10051460,1,6,1,2,9,NA,0,NA,4,0,NA,0,1,1,NA,1,5,2
10051730,1,5,5,2,4,NA,1,2,2,0,NA,1,0,3,0,0,6,2
10051740,0,7,7,4,9,9,1,1,2,0,NA,0,0,3,1,1,1,4
10051800,1,6,7,4,11,6,1,1,1,1,2,1,0,4,1,1,2,4
10051850,1,3,7,3,8,NA,1,1,2,0,NA,1,0,3,1,1,2,3
10052020,1,6,1,1,8,3,NA,NA,3,0,NA,1,1,2,NA,0,2,1
10052040,0,7,6,3,11,11,1,1,1,1,3,1,0,4,1,1,3,3
10052120,1,7,5,3,11,11,1,1,1,0,NA,1,0,4,1,0,4,3
10052220,0,1,6,2,12,9,NA,NA,3,0,NA,1,1,2,NA,0,6,2
10052240,1,1,7,4,10,NA,1,1,1,0,NA,1,0,4,1,0,1,4
10052270,1,6,5,3,4,6,1,1,1,0,NA,1,0,4,1,1,3,3
10052410,0,7,5,2,6,5,1,1,2,1,1,1,0,3,1,1,1,2
10052430,1,4,6,2,10,10,NA,NA,4,0,NA,1,1,1,NA,1,5,2
10052480,1,6,6,4,12,6,1,1,2,0,NA,1,0,3,1,1,6,4
10052500,0,1,5,4,7,6,1,1,2,1,3,1,0,3,1,1,3,4
10052570,1,7,7,4,6,5,1,1,1,1,2,1,0,4,1,1,7,4
10052730,0,6,7,3,11,9,1,1,2,1,2,1,0,3,1,1,2,3
10052780,1,6,5,2,9,2,1,1,1,1,2,1,0,4,1,1,6,2
