DistNumber,Year,CycleSwitch,AfterSwitch,AvgSalary
4809630,2009,0,1,43854.26441
4809670,2003,0,0,47380.33749
4809670,2004,0,0,45886.13084
4809670,2005,0,0,45803.97863
4809670,2006,0,0,49191.41652
4809670,2007,0,1,48652.03896
4809670,2008,0,1,46278.00642
4809670,2009,0,1,47118.40141
4809690,2003,0,0,44348.86755
4809690,2004,0,0,43024.7525
4809690,2005,0,0,40512.9867
4809690,2006,0,0,41952.68018
4809690,2007,0,1,41122.7662
4809690,2008,0,1,40471.01092
4809690,2009,0,1,41096.45952
4809720,2003,0,0,45975.13824
4809720,2004,0,0,45373.12841
4809720,2005,0,0,44690.81801
4809720,2006,0,0,46360.16878
4809720,2007,0,1,46118.25238
4809720,2008,0,1,43858.99063
4809720,2009,0,1,44773.87719
4809750,2003,0,0,45638.2001
4809750,2004,0,0,42739.7514
4809750,2005,0,0,40972.79721
4809750,2006,0,0,42108.48452
4809750,2007,0,1,42484.42327
4809750,2008,0,1,40400.98095
4809750,2009,0,1,41793.9447
4809780,2003,0,0,45034.46021
4809780,2004,0,0,43666.54887
4809780,2005,0,0,42319.19579
4809780,2006,0,0,44800.91426
4809780,2007,0,1,44424.9357
4809780,2008,0,1,43997.99306
4809780,2009,0,1,45913.75198
4809810,2003,0,0,45670.94187
4809810,2004,0,0,45067.62843
4809810,2005,0,0,42855.9931
4809810,2006,0,0,44760.64224
4809810,2007,0,1,44366.21163
4809810,2008,0,1,42648.99429
4809810,2009,0,1,43889.24212
4809860,2003,0,0,44169.85935
4809860,2004,0,0,42696.40496
4809860,2005,0,0,41532.6995
4809860,2006,0,0,43152.59136
4809860,2007,0,1,42665.67359
4809860,2008,0,1,41488.99454
4809860,2009,0,1,44702.41229
4809870,2003,1,0,45958.78684
4809870,2004,1,0,44285.59804
4809870,2005,1,0,40613.10067
4809870,2006,1,0,41026.24717
4809870,2007,1,1,40804.49739
4809870,2008,1,1,41278.00772
4809870,2009,1,1,41956.28116
4809980,2003,0,0,43969.76321
4809980,2004,0,0,47080.85022
4809980,2005,0,0,39691.29665
4809980,2006,0,0,41590.1718
4809980,2007,0,1,38261.42381
4809980,2008,0,1,37610.01298
4809980,2009,0,1,36450.8235
4810140,2003,1,0,41652.01343
4810140,2004,1,0,39915.97956
4810140,2005,1,0,37954.4037
4810140,2006,1,0,40131.59945
4810140,2007,1,1,40163.83782
4810140,2008,1,1,37715.00054
4810140,2009,1,1,38840.7587
4810170,2003,1,0,44877.67217
4810170,2004,1,0,43907.11829
4810170,2005,1,0,43934.00904
4810170,2006,1,0,44934.45913
4810170,2007,1,1,43586.49992
4810170,2008,1,1,43873.00498
4810170,2009,1,1,44197.50111
4810200,2003,0,0,44881.1818
4810200,2004,0,0,43137.61408
4810200,2005,0,0,41470.00673
4810200,2006,0,0,42813.3862
4810200,2007,0,1,42071.39507
4810200,2008,0,1,40825.01033
4810200,2009,0,1,41848.50577
4810230,2003,0,0,52810.28139
4810230,2004,0,0,51914.43995
4810230,2005,0,0,51010.293
4810230,2006,0,0,54228.55152
4810230,2007,0,1,53060.42462
4810230,2008,0,1,53461.99889
4810230,2009,0,1,54895.04914
4810260,2003,0,0,44972.44279
4810260,2004,0,0,43560.52808
4810260,2005,0,0,42422.5999
4810260,2006,0,0,43647.60512
4810260,2007,0,1,42548.2844
4810260,2008,0,1,42431.01587
4810260,2009,0,1,44027.7106
4810320,2003,0,0,43562.60526
4810320,2004,0,0,42539.11494
4810320,2005,0,0,42339.01656
4810320,2006,0,0,44679.0137
4810320,2007,0,1,45389.01171
4810320,2008,0,1,46369.01212
4810320,2009,0,1,49152.02572
4810350,2003,1,0,39808.09192
4810350,2004,1,0,40520.17367
4810350,2005,1,0,39114.90222
4810350,2006,1,0,41184.18776
4810350,2007,1,1,39952.65477
4810350,2008,1,1,39224.01583
4810350,2009,1,1,40532.27075
4810380,2003,0,0,38406.41296
4810380,2004,0,0,37990.50842
4810380,2005,0,0,36235.10433
4810380,2006,0,0,38565.9987
4810380,2007,0,1,38033.79236
4810380,2008,0,1,37106.0002
4810380,2009,0,1,40065.59549
4810440,2003,0,0,37890.46285
4810440,2004,0,0,36237.17778
4810440,2005,0,0,36832.41038
4810440,2006,0,0,37836.69578
4810440,2007,0,1,39292.45535
4810440,2008,0,1,37331.99491
4810440,2009,0,1,38970.80616
4810470,2003,0,0,40781.50558
4810470,2004,0,0,39063.23459
4810470,2005,0,0,41611.91307
4810470,2006,0,0,44112.94486
4810470,2007,0,1,44264.23277
4810470,2008,0,1,43224.01059
4810470,2009,0,1,43161.23446
4810500,2003,1,0,43935.85263
4810500,2004,1,0,42143.51667
4810500,2005,1,0,40675.81689
4810500,2006,1,0,44339.81748
4810500,2007,1,1,41965.28497
4810500,2008,1,1,43255.02038
4810500,2009,1,1,43387.92927
4810590,2003,0,0,42576.29188
4810590,2004,0,0,42551.65244
4810590,2005,0,0,41176.29398
4810590,2006,0,0,42644.84582
4810590,2007,0,1,41375.11905
4810590,2008,0,1,40913.01749
4810590,2009,0,1,40670.92946
4810620,2003,1,0,42373.87681
4810620,2004,1,0,39280.99053
4810620,2005,1,0,36769.69345
4810620,2006,1,0,36511.70817
4810620,2007,1,1,37628.99178
4810620,2008,1,1,36768.01031
4810620,2009,1,1,35640.92407
4810650,2003,0,0,42098.92805
4810650,2004,0,0,39072.36279
4810650,2005,0,0,38470.30727
4810650,2006,0,0,38302.02103
4810650,2007,0,1,39275.97104
4810650,2008,0,1,38979.98711
4810650,2009,0,1,39438.30489
4810710,2003,0,0,46437.29526
4810710,2004,0,0,45915.76621
4810710,2005,0,0,44817.2811
4810710,2006,0,0,48281.94341
4810710,2007,0,1,48993.00219
4810710,2008,0,1,50682.0123
4810710,2009,0,1,50947.77104
4810740,2003,1,0,36639.72248
4810740,2004,1,0,37062.53501
4810740,2005,1,0,37815.80898
4810740,2006,1,0,39172.31614
4810740,2007,1,1,40061.85113
4810740,2008,1,1,38368.01023
4810740,2009,1,1,40191.88556
4810780,2003,1,0,43789.57066
4810780,2004,1,0,43298.35583
4810780,2005,1,0,40811.11334
4810780,2006,1,0,43432.43338
4810780,2007,1,1,42585.34752
4810780,2008,1,1,41786.01375
4810780,2009,1,1,42731.47796
4810800,2003,0,0,43312.23234
4810800,2004,0,0,41582.63642
4810800,2005,0,0,41241.21713
4810800,2006,0,0,42584.45405
4810800,2007,0,1,41636.72309
4810800,2008,0,1,41168.0091
4810800,2009,0,1,41729.10653
4810830,2003,0,0,41063.47257
4810830,2004,0,0,42176.56678
4810830,2005,0,0,40957.40467
4810830,2006,0,0,41482.03134
4810830,2007,0,1,43402.12423
4810830,2008,0,1,43444.98557
4810830,2009,0,1,45297.29419
4810860,2003,1,0,51809.93177
4810860,2004,1,0,49626.47305
4810860,2005,1,0,48874.09558
4810860,2006,1,0,50705.12129
4810860,2007,1,1,51441.26908
4810860,2008,1,1,51965.01373
4810860,2009,1,1,53660.34196
4810890,2003,0,0,44282.17722
4810890,2004,0,0,41794.66215
4810890,2005,0,0,41220.29851
4810890,2006,0,0,44999.1277
4810890,2007,0,1,44412.56629
4810890,2008,0,1,44429.00312
4810890,2009,0,1,45178.69603
4810910,2003,0,0,39430.18169
4810910,2004,0,0,39277.54424
4810910,2005,0,0,38625.40637
4810910,2006,0,0,42826.12706
4810910,2007,0,1,41983.81889
4810910,2008,0,1,42857.99581
4810910,2009,0,1,43883.08971
4810950,2003,0,0,39946.13989
4810950,2004,0,0,39453.12653
4810950,2005,0,0,38846.50055
4810950,2006,0,0,39648.24379
4810950,2007,0,1,38618.81328
4810950,2008,0,1,38194.99869
4810950,2009,0,1,39247.25242
4810990,2003,0,0,42339.94526
4810990,2004,0,0,41413.92483
4810990,2005,0,0,39559.2976
4810990,2006,0,0,41374.96121
4810990,2007,0,1,42180.54901
4810990,2008,0,1,42306.00054
4810990,2009,0,1,43505.93386
4811010,2003,0,0,42508.45624
4811010,2004,0,0,42226.75433
4811010,2005,0,0,42675.6029
4811010,2006,0,0,45340.42718
4811010,2007,0,1,43606.08253
4811010,2008,0,1,43022.00347
4811010,2009,0,1,44205.88976
4811040,2003,1,0,47285.54308
4811040,2004,1,0,45342.37302
4811040,2005,1,0,45767.6932
4811040,2006,1,0,45753.85904
4811040,2007,1,1,46340.71936
4811040,2008,1,1,46224.98757
4811040,2009,1,1,47687.05046
4811070,2003,0,0,44162.82526
4811070,2004,0,0,44025.65323
4811070,2005,0,0,44414.68409
4811070,2006,0,0,44827.41189
4811070,2007,0,1,42238.233
4811070,2008,0,1,41139.00554
4811070,2009,0,1,42989.80777
4811110,2003,0,0,41475.34618
4811110,2004,0,0,40870.15951
4811110,2005,0,0,40030.11456
4811110,2006,0,0,40814.2271
4811110,2007,0,1,39779.62914
4811110,2008,0,1,38452.00424
4811110,2009,0,1,39558.50535
4811190,2003,0,0,51063.49212
4811190,2004,0,0,49570.61075
4811190,2005,0,0,48595.79048
4811190,2006,0,0,49487.14755
4811190,2007,0,1,48637.61126
4811190,2008,0,1,48878.01097
4811190,2009,0,1,49929.15245
4811220,2003,0,0,45082.45892
4811220,2004,0,0,42037.50529
4811220,2005,0,0,43379.6131
4811220,2006,0,0,44053.58287
4811220,2007,0,1,42362.88647
4811220,2008,0,1,41259.98213
4811220,2009,0,1,42241.0528
4811250,2003,0,0,44997.02494
4811250,2004,0,0,44586.51972
4811250,2005,0,0,43746.99516
